Day,Daily hospital occupancy
2020/9/1,4586
2020/9/2,4614
2020/9/3,4625
2020/9/4,4653
2020/9/5,4667
2020/9/6,4697
2020/9/7,4889
2020/9/8,4942
2020/9/9,4985
2020/9/10,5077
2020/9/11,5136
2020/9/12,5176
2020/9/13,5228
2020/9/14,5479
2020/9/15,5660
2020/9/16,5800
2020/9/17,5825
2020/9/18,5800
2020/9/19,5493
2020/9/20,5356
2020/9/21,5597
2020/9/22,5777
2020/9/23,5913
2020/9/24,6012
2020/9/25,6110
2020/9/26,6154
2020/9/27,6235
2020/9/28,6397
2020/9/29,6482
2020/9/30,6572
2020/10/1,6634
2020/10/2,6740
2020/10/3,6740
2020/10/4,6964
2020/10/5,7276
2020/10/6,7377
2020/10/7,7514
2020/10/8,7603
2020/10/9,7843
2020/10/10,7976
2020/10/11,8231
2020/10/12,8671
2020/10/13,8928
2020/10/14,9173
2020/10/15,9584
2020/10/16,10021
2020/10/17,10399
2020/10/18,10897
2020/10/19,11640
2020/10/20,12435
2020/10/21,13162
2020/10/22,14009
2020/10/23,14985
2020/10/24,15637
2020/10/25,16454
2020/10/26,17761
2020/10/27,18955
2020/10/28,20184
2020/10/29,21160
2020/10/30,22153
2020/10/31,23013
2020/11/1,24008
2020/11/2,25120
2020/11/3,26242
2020/11/4,27511
2020/11/5,28403
2020/11/6,28955
2020/11/7,29396
2020/11/8,30217
2020/11/9,31098
2020/11/10,31477
2020/11/11,31918
2020/11/12,32654
2020/11/13,32676
2020/11/14,32468
2020/11/15,33050
2020/11/16,33466
2020/11/17,33139
2020/11/18,32811
2020/11/19,32314
2020/11/20,31875
2020/11/21,31365
2020/11/22,31522
2020/11/23,31449
2020/11/24,30594
2020/11/25,29944
2020/11/26,29282
2020/11/27,28620
2020/11/28,28139
2020/11/29,28284
2020/11/30,28229
2020/12/1,27611
2020/12/2,26986
2020/12/3,26675
2020/12/4,26283
2020/12/5,26040
2020/12/6,26262
2020/12/7,26333
2020/12/8,25882
2020/12/9,25526
2020/12/10,25199
2020/12/11,24943
2020/12/12,24948
2020/12/13,25207
2020/12/14,25449
2020/12/15,25207
2020/12/16,25282
2020/12/17,25149
2020/12/18,24945
2020/12/19,24819
2020/12/20,24961
2020/12/21,25201
2020/12/22,24932
2020/12/23,24852
2020/12/24,24607
2020/12/25,24359
2020/12/26,24444
2020/12/27,24620
2020/12/28,24645
2020/12/29,24743
2020/12/30,24560
2020/12/31,24407
2021/1/1,24263
2021/1/2,24458
2021/1/3,24780
2021/1/4,24962
2021/1/5,24871
2021/1/6,24708
2021/1/7,24488
2021/1/8,24377
2021/1/9,24240
2021/1/10,24526
2021/1/11,24812
2021/1/12,24703
2021/1/13,24735
2021/1/14,24983
2021/1/15,25009
2021/1/16,24985
2021/1/17,25235
2021/1/18,25584
2021/1/19,25532
2021/1/20,25650
2021/1/21,25699
2021/1/22,25872
2021/1/23,25864
2021/1/24,26357
2021/1/25,26888
2021/1/26,27005
2021/1/27,27131
2021/1/28,27128
2021/1/29,27270
2021/1/30,27242
2021/1/31,27573
2021/2/1,27874
2021/2/2,28029
2021/2/3,27953
2021/2/4,27766
2021/2/5,27572
2021/2/6,27327
2021/2/7,27652
2021/2/8,27995
2021/2/9,27634
2021/2/10,27417
2021/2/11,26963
2021/2/12,26424
2021/2/13,26196
2021/2/14,26401
2021/2/15,26478
2021/2/16,26195
2021/2/17,25929
2021/2/18,25717
2021/2/19,25506
2021/2/20,25269
2021/2/21,25464
2021/2/22,25831
2021/2/23,25660
2021/2/24,25614
2021/2/25,25317
2021/2/26,25130
2021/2/27,24989
2021/2/28,25280
2021/3/1,25430
2021/3/2,25263
2021/3/3,25111
2021/3/4,24891
2021/3/5,24765
2021/3/6,24625
2021/3/7,24818
2021/3/8,25195
2021/3/9,25201
2021/3/10,24969
2021/3/11,24858
2021/3/12,24749
2021/3/13,24671
2021/3/14,24989
2021/3/15,25469
2021/3/16,25492
2021/3/17,25314
2021/3/18,25389
2021/3/19,25339
2021/3/20,25537
2021/3/21,25926
2021/3/22,26488
2021/3/23,26756
2021/3/24,26876
2021/3/25,27036
2021/3/26,27242
2021/3/27,27259
2021/3/28,27712
2021/3/29,28322
2021/3/30,28510
2021/3/31,28463
2021/4/1,28581
2021/4/2,28729
2021/4/3,28886
2021/4/4,29356
2021/4/5,29907
2021/4/6,30639
2021/4/7,30904
2021/4/8,30555
2021/4/9,30326
2021/4/10,30238
2021/4/11,30671
2021/4/12,31262
2021/4/13,31226
2021/4/14,30868
2021/4/15,30668
2021/4/16,30472
2021/4/17,30329
2021/4/18,30789
2021/4/19,31214
2021/4/20,31086
2021/4/21,30954
2021/4/22,30634
2021/4/23,30438
2021/4/24,30100
2021/4/25,30287
2021/4/26,30596
2021/4/27,30281
2021/4/28,29911
2021/4/29,29487
2021/4/30,28930
2021/5/1,28603
2021/5/2,28818
2021/5/3,28950
2021/5/4,28427
2021/5/5,27686
2021/5/6,26985
2021/5/7,26331
2021/5/8,25800
2021/5/9,25797
2021/5/10,25666
2021/5/11,25028
2021/5/12,24254
2021/5/13,23656
2021/5/14,23406
2021/5/15,22950
2021/5/16,22963
2021/5/17,22749
2021/5/18,22058
2021/5/19,21347
2021/5/20,20750
2021/5/21,20209
2021/5/22,19765
2021/5/23,19720
2021/5/24,19701
2021/5/25,19430
2021/5/26,18593
2021/5/27,17941
2021/5/28,17272
2021/5/29,16847
2021/5/30,16775
2021/5/31,16596
2021/6/1,16088
2021/6/2,15638
2021/6/3,15283
2021/6/4,14801
2021/6/5,14532
2021/6/6,14525
2021/6/7,14323
2021/6/8,13984
2021/6/9,13526
2021/6/10,13090
2021/6/11,12712
2021/6/12,12496
2021/6/13,12480
2021/6/14,12374
2021/6/15,11895
2021/6/16,11519
2021/6/17,11114
2021/6/18,10738
2021/6/19,10531
2021/6/20,10518
2021/6/21,10386
2021/6/22,10046
2021/6/23,9771
2021/6/24,9392
2021/6/25,9190
2021/6/26,9024
2021/6/27,8986
2021/6/28,8846
2021/6/29,8627
2021/6/30,8451
2021/7/1,8232
2021/7/2,8044
2021/7/3,7912
2021/7/4,7913
2021/7/5,7806
2021/7/6,7637
2021/7/7,7539
2021/7/8,7384
2021/7/9,7275
2021/7/10,7183
2021/7/11,7183
2021/7/12,7137
2021/7/13,7076
2021/7/14,7047
2021/7/15,7054
2021/7/16,6971
2021/7/17,6922
2021/7/18,6936
2021/7/19,7041
2021/7/20,6912
2021/7/21,6869
2021/7/22,6832
2021/7/23,6802
2021/7/24,6787
2021/7/25,6843
2021/7/26,7079
2021/7/27,7137
2021/7/28,7208
2021/7/29,7236
2021/7/30,7363
2021/7/31,7409
2021/8/1,7581
2021/8/2,7840
2021/8/3,7974
2021/8/4,8134
2021/8/5,8210
2021/8/6,8368
2021/8/7,8425
2021/8/8,8685
2021/8/9,9022
2021/8/10,9153
2021/8/11,9233
2021/8/12,9465
2021/8/13,9546
2021/8/14,9648
2021/8/15,9798
2021/8/16,10151
2021/8/17,10219
2021/8/18,10336
2021/8/19,10392
2021/8/20,10515
2021/8/21,10463
2021/8/22,10651
2021/8/23,11007
2021/8/24,11066
2021/8/25,11171
2021/8/26,11104
2021/8/27,11162
2021/8/28,11052
2021/8/29,11092
2021/8/30,11245
2021/8/31,11120
2021/9/1,11119
2021/9/2,10934
2021/9/3,10816
2021/9/4,10654
2021/9/5,10644
2021/9/6,10757
2021/9/7,10646
2021/9/8,10438
2021/9/9,10323